Date,Open,High,Low,Close,Adj Close,Volume,Ticker
1/2/19,154.8899994,158.8500061,154.2299957,157.9199982,155.2140045,37039700,AAPL
1/3/19,143.9799957,145.7200012,142,142.1900024,139.75354,91312200,AAPL
1/4/19,144.5299988,148.5500031,143.8000031,148.2599945,145.7195129,58607100,AAPL
1/7/19,148.6999969,148.8300018,145.8999939,147.9299927,145.3952026,54777800,AAPL
1/8/19,149.5599976,151.8200073,148.5200043,150.75,148.1668701,41025300,AAPL
1/9/19,151.2899933,154.5299988,149.6300049,153.3099976,150.6829834,45099100,AAPL
1/10/19,152.5,153.9700012,150.8600006,153.8000031,151.1646271,35780700,AAPL
1/11/19,152.8800049,153.6999969,151.5099945,152.2899933,149.6804657,27023200,AAPL
1/14/19,150.8500061,151.2700043,149.2200012,150,147.429718,32439200,AAPL
1/15/19,150.2700043,153.3899994,150.0500031,153.0700073,150.4471283,28710900,AAPL
1/16/19,153.0800018,155.8800049,153,154.9400024,152.28508,30569700,AAPL
1/17/19,154.1999969,157.6600037,153.2599945,155.8600006,153.1893005,29821200,AAPL
1/18/19,157.5,157.8800049,155.9799957,156.8200073,154.1328583,33751000,AAPL
1/22/19,156.4100037,156.7299957,152.6199951,153.3000031,150.673172,30394000,AAPL
1/23/19,154.1499939,155.1399994,151.6999969,153.9199982,151.282547,23130600,AAPL
1/24/19,154.1100006,154.4799957,151.7400055,152.6999969,150.0834351,25441500,AAPL
1/25/19,155.4799957,158.1300049,154.3200073,157.7599945,155.0567474,33535500,AAPL
1/28/19,155.7899933,156.3300018,153.6600037,156.3000031,153.6217651,26192100,AAPL
1/29/19,156.25,158.1300049,154.1100006,154.6799927,152.0295105,41587200,AAPL
1/30/19,163.25,166.1499939,160.2299957,165.25,162.4184113,61109800,AAPL
1/31/19,166.1100006,169,164.5599976,166.4400024,163.5879974,40739600,AAPL
2/1/19,166.9600067,168.9799957,165.9299927,166.5200043,163.6666412,32668100,AAPL
2/4/19,167.4100037,171.6600037,167.2799988,171.25,168.3155823,31495500,AAPL
2/5/19,172.8600006,175.0800018,172.3500061,174.1799927,171.1953888,36101600,AAPL
2/6/19,174.6499939,175.5700073,172.8500061,174.2400055,171.254364,28239600,AAPL
2/7/19,172.3999939,173.9400024,170.3399963,170.9400024,168.01091,31741700,AAPL
2/8/19,168.9900055,170.6600037,168.4199982,170.4100037,168.2083282,23820000,AAPL
2/11/19,171.0500031,171.2100067,169.25,169.4299927,167.2409668,20993400,AAPL
2/12/19,170.1000061,171,169.6999969,170.8899994,168.6821136,22283500,AAPL
2/13/19,171.3899994,172.4799957,169.9199982,170.1799927,167.9812775,22490200,AAPL
